datetime,requests,emissions
2022-01-12 19:00:00,2329,817029.8278316294
2022-01-12 20:00:00,2033,669092.0094395237
2022-01-12 21:00:00,1883,617058.8381629966
2022-01-12 22:00:00,1879,615562.9835151758
2022-01-12 23:00:00,2119,690352.6014870928
2022-01-13 00:00:00,2368,770687.6339640425
2022-01-13 01:00:00,2766,900220.438374226
2022-01-13 02:00:00,3061,1001883.4152500035
2022-01-13 03:00:00,3209,1237302.7905842464
2022-01-13 04:00:00,3312,1269514.509247936
2022-01-13 05:00:00,3489,1348699.3237976008
2022-01-13 06:00:00,3565,1381325.3975596167
2022-01-13 07:00:00,3653,1428329.3565961597
2022-01-13 08:00:00,3795,1492588.1127415332
2022-01-13 09:00:00,3964,1561740.4538841695
2022-01-13 10:00:00,4250,1685667.9524388486
2022-01-13 11:00:00,4489,1779467.2533320887
2022-01-13 12:00:00,4720,1881786.8244644697
2022-01-13 13:00:00,4784,1896996.0182599183
2022-01-13 14:00:00,4701,1865241.5453675364
2022-01-13 15:00:00,4395,1744098.7750158708
2022-01-13 16:00:00,3957,1609985.7667463096
2022-01-13 17:00:00,3370,1340991.685424709
2022-01-13 18:00:00,2746,1092047.0646711898
2022-01-13 19:00:00,2329,972832.0476477512
2022-01-13 20:00:00,2033,826666.7556885012
2022-01-13 21:00:00,1883,763679.5650743488
2022-01-13 22:00:00,1879,756783.2305362284
2022-01-13 23:00:00,2119,852636.5913143419
2022-01-14 00:00:00,2368,902016.747196774
2022-01-14 01:00:00,2766,1054405.7888828064
2022-01-14 02:00:00,3061,1170327.3474570948
2022-01-14 03:00:00,3209,1225609.252172375
2022-01-14 04:00:00,3312,1273265.6440717117
2022-01-14 05:00:00,3489,1339464.5992090397
2022-01-14 06:00:00,3565,1378253.249851437
2022-01-14 07:00:00,3653,1431747.1655479788
2022-01-14 08:00:00,3795,1507351.4105760485
2022-01-14 09:00:00,3964,1569060.4259430103
2022-01-14 10:00:00,4250,1684935.4628029575
2022-01-14 11:00:00,4489,1781843.560507672
2022-01-14 12:00:00,4720,1878881.4874212705
2022-01-14 13:00:00,4784,1876677.3712978004
2022-01-14 14:00:00,4701,1859454.2617064856
2022-01-14 15:00:00,4395,1803074.0393052734
2022-01-14 16:00:00,3957,1603896.5619370192
2022-01-14 17:00:00,3370,1414216.64305099
2022-01-14 18:00:00,2746,1098334.8541916825
2022-01-14 19:00:00,2329,799597.4116284269
2022-01-14 20:00:00,2033,626845.1587933557
2022-01-14 21:00:00,1883,638084.1344963715
2022-01-14 22:00:00,1879,760229.8835757266
2022-01-14 23:00:00,2119,775107.5738305636
2022-01-15 00:00:00,2368,952682.6736781253
2022-01-15 01:00:00,2766,1079059.1002273762
2022-01-15 02:00:00,3061,1008628.7091795492
2022-01-15 03:00:00,3209,1076990.6997890673
2022-01-15 04:00:00,3312,1064547.609692285
2022-01-15 05:00:00,3489,1382846.3286715823
2022-01-15 06:00:00,3565,1040975.3193177046
2022-01-15 07:00:00,3653,1094913.0991120962
2022-01-15 08:00:00,3795,1126215.3861014403
2022-01-15 09:00:00,3964,1444035.3031780128
2022-01-15 10:00:00,4250,1251092.3156021477
2022-01-15 11:00:00,4489,1574939.0473592107
2022-01-15 12:00:00,4720,1430820.4086190544
2022-01-15 13:00:00,4784,1578965.0223311184
2022-01-15 14:00:00,4701,1564592.1591759336
2022-01-15 15:00:00,4395,1514203.4557813092
2022-01-15 16:00:00,3957,1376891.0066466758
2022-01-15 17:00:00,3370,1181971.140052734
2022-01-15 18:00:00,2746,958887.9091807473
2022-01-15 19:00:00,2329,811983.602088597
2022-01-15 20:00:00,2033,679653.7221010658
2022-01-15 21:00:00,1883,627791.7071843335
2022-01-15 22:00:00,1879,520120.7657905463
2022-01-15 23:00:00,2119,583241.5160939588
